GID,Components,True_Rum,True_Whiskey,True_Vodka,True_Gin,Pred_Rum,Pred_Whiskey,Pred_Vodka,Pred_Gin,Bias_Rum,Bias_Whiskey,Bias_Vodka,Bias_Gin,AbsBias_Rum,AbsBias_Whiskey,AbsBias_Vodka,AbsBias_Gin,Std_Rum,Std_Whiskey,Std_Vodka,Std_Gin,MeanAbsErrAllPred_Rum,MeanAbsErrAllPred_Whiskey,MeanAbsErrAllPred_Vodka,MeanAbsErrAllPred_Gin,Mean_Abs_Bias_4D_Including_Zeros,Mean_Abs_Bias_Present_Only,Mean_Std_Present_Only,Original_MAE_From_File,RMSE_From_File,MAPE_Percent_From_File,N_3,Sum_True,Sum_Pred
GID04,Rum+Whiskey,32.0,68.0,0.0,0.0,35.851239,64.170704,0.0,0.0,3.851239,-3.829296,0.0,0.0,3.851239,3.829296,0.0,0.0,2.361275,2.361435,0.0,0.0,3.911575,3.890245,0.0,0.0,1.9201339688301076,3.840267937660215,2.361354924713571,3.9009132385253906,4.507570743560791,8.972315490245819,1000,100.0,100.02194288063049
GID05,Rum+Vodka,54.0,0.0,46.0,0.0,54.735812,0.0,45.28699,0.0,0.735812,0.0,-0.71301,0.0,0.735812,0.0,0.71301,0.0,2.367874,0.0,2.368056,0.0,2.118262,0.0,2.113339,0.0,0.3622055606842043,0.7244111213684086,2.3679648079016378,2.115800619125366,2.475187301635742,4.258459061384201,1000,100.0,100.0228020248413
GID06,Whiskey+Vodka,0.0,38.0,62.0,0.0,0.0,35.549276,64.426898,0.0,0.0,-2.450724,2.426898,0.0,0.0,2.450724,2.426898,0.0,0.0,5.46738,5.448758,0.0,0.0,5.298377,5.273704,0.0,1.2194054689407352,2.4388109378814704,5.458069064462942,5.2860426902771,5.975681304931641,11.224543303251266,1000,100.0,99.97617335891724
GID07,Rum+Whiskey+Vodka,35.0,20.0,45.0,0.0,35.824316,20.488437,43.687247,0.0,0.824316,0.488437,-1.312753,0.0,0.824316,0.488437,1.312753,0.0,1.519594,2.02689,1.746376,0.0,1.423588,0.835995,1.700431,0.0,0.6563764734268185,0.8751686312357579,1.7642865161557781,1.320004940032959,2.0082497596740723,4.008704051375389,1000,100.0,100.00000037765503
GID09,Rum+Gin,75.0,0.0,0.0,25.0,75.784469,0.0,0.0,24.089974,0.784469,0.0,0.0,-0.910026,0.784469,0.0,0.0,0.910026,5.819729,0.0,0.0,5.911997,4.676763,0.0,0.0,4.797456,0.42362370371818425,0.8472474074363685,5.865862930238006,4.737109184265137,5.924342155456543,12.712758779525757,1000,100.0,99.87444242572784
GID10,Whiskey+Gin,0.0,35.0,0.0,65.0,0.0,33.564924,0.0,65.524501,0.0,-1.435076,0.0,0.524501,0.0,1.435076,0.0,0.524501,0.0,5.029659,0.0,4.906116,0.0,4.028601,0.0,3.712722,0.48989414787292596,0.9797882957458519,4.967887515718754,3.870661735534668,5.081960315487849,8.611083775758743,1000,100.0,99.0894245452881
GID11,Vodka+Gin,0.0,0.0,40.0,60.0,0.0,0.0,40.552893,58.968826,0.0,0.0,0.552893,-1.031174,0.0,0.0,0.552893,1.031174,0.0,0.0,3.674057,3.825494,0.0,0.0,2.86363,3.105983,0.39601686716079776,0.7920337343215955,3.749775560749179,2.9848074913024902,3.8388774394989014,6.1678580939769745,1000,100.0,99.52171862983704
GID12,Rum+Whiskey+Gin,35.0,15.0,0.0,50.0,31.029762,23.844068,0.0,45.126177,-3.970238,8.844068,0.0,-4.873823,3.970238,8.844068,0.0,4.873823,9.287976,7.740156,0.0,12.938385,8.501003,8.844068,0.0,12.290676,4.422032216310501,5.8960429550806674,9.988839008704353,9.878576278686523,11.986091182530588,35.943469405174255,1000,100.0,100.00000682735443
GID13,Rum+Vodka+Gin,50.0,0.0,30.0,20.0,49.774503,0.0,25.521677,24.604188,-0.225497,0.0,-4.478323,4.604188,0.225497,0.0,4.478323,4.604188,5.141106,0.0,1.313595,4.544974,2.835676,0.0,4.546876,4.604188,2.3270020828247073,3.1026694437662763,3.6665584214721654,3.9955785274505615,5.479333400726318,14.616180956363678,1000,100.0,99.90036830139161
GID14,Whiskey+Vodka+Gin,0.0,30.0,25.0,45.0,0.0,31.570364,25.995433,42.434203,0.0,1.570364,0.995433,-2.565797,0.0,1.570364,0.995433,2.565797,0.0,5.827735,6.961541,8.540529,0.0,5.038482,5.262014,6.600224,1.2828986687660215,1.7105315583546954,7.109935178929195,5.633573532104492,7.421840190887451,17.50338524580002,1000,100.0,99.99999989128113
GID15,Rum+Whiskey+Vodka+Gin,40.0,5.0,20.0,35.0,41.362608,5.532568,17.215156,35.889669,1.362608,0.532568,-2.784844,0.889669,1.362608,0.532568,2.784844,0.889669,3.650762,1.309946,2.579227,2.369653,2.890319,1.110704,3.351147,1.933358,1.3924220103621479,1.3924220103621479,2.4773970073057496,2.321382522583008,3.0810534954071045,12.929868698120117,1000,100.0,100.00000055670738
